model,policy,dataset,conflict_name,primary_constraint_met,secondary_constraint_met,none_constraint_met,conflict_recognized
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,num_sentence_conflict: 10_5,0.83,0.06,0.11,0.02
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,word_length_conflict: 300_50,0.98,0.0,0.02,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,case_conflict,0.96,0.0,0.04,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,1.0,0.0,0.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.96,0.0,0.04,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,language_conflict: en_fr,0.97,0.03,0.0,0.03
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.79,0.06,0.15,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,word_length_conflict: 300_50,0.69,0.0,0.31,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,case_conflict,0.52,0.0,0.48,0.05
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.92,0.0,0.08,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.98,0.0,0.02,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.94,0.02,0.04,0.02
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.99,0.0,0.01,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,case_conflict,0.86,0.0,0.14,0.03
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.98,0.01,0.01,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.92,0.0,0.08,0.02
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.94,0.01,0.05,0.08
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.67,0.04,0.29,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.38,0.02,0.6,0.0
Llama-3.1-70B,emphasized_separation,conflicting_instructions,case_conflict,0.08,0.65,0.27,0.52
Llama-3.1-70B,emphasized_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.01,0.96,0.03,0.02
Llama-3.1-70B,emphasized_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.04,0.89,0.07,0.23
Llama-3.1-70B,emphasized_separation,conflicting_instructions,language_conflict: en_fr,0.51,0.11,0.38,0.57
Llama-3.1-70B,emphasized_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.11,0.65,0.24,0.13
Llama-3.1-70B,emphasized_separation,conflicting_instructions,word_length_conflict: 300_50,0.15,0.47,0.38,0.21
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,case_conflict,0.82,0.02,0.16,0.83
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.68,0.18,0.14,0.15
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.13,0.66,0.21,0.34
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,language_conflict: en_fr,0.88,0.09,0.03,0.87
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.27,0.36,0.37,0.23
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.13,0.29,0.58,0.28
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,case_conflict,0.05,0.77,0.18,0.32
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.01,0.9,0.09,0.01
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.02,0.8,0.18,0.04
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.72,0.13,0.15,0.65
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.11,0.51,0.38,0.06
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.17,0.21,0.62,0.04
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.35,0.28,0.37,0.94
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.58,0.25,0.17,0.07
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.18,0.58,0.24,0.14
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.81,0.08,0.11,0.75
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.03,0.88,0.09,0.06
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.01,0.92,0.07,0.04
Llama-3.1-70B,marked_system_basic,conflicting_instructions,case_conflict,0.42,0.19,0.39,0.45
Llama-3.1-70B,marked_system_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.4,0.47,0.13,0.23
Llama-3.1-70B,marked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.94,0.0,0.06,0.36
Llama-3.1-70B,marked_system_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.6
Llama-3.1-70B,marked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.71,0.1,0.19,0.14
Llama-3.1-70B,marked_system_basic,conflicting_instructions,word_length_conflict: 300_50,0.76,0.0,0.24,0.22
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,case_conflict,0.93,0.0,0.07,0.46
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.79,0.18,0.03,0.26
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.95,0.0,0.05,0.35
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.33
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.68,0.02,0.3,0.21
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.52,0.02,0.46,0.12
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,case_conflict,0.49,0.08,0.43,0.42
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.15,0.75,0.1,0.15
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.55,0.2,0.25,0.21
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.99,0.0,0.01,0.17
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.71,0.13,0.16,0.34
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.74,0.09,0.17,0.43
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.91,0.0,0.09,0.23
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.53,0.43,0.04,0.4
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.81,0.01,0.18,0.64
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.81,0.15,0.04,0.45
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.44,0.12,0.44,0.63
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.23,0.52,0.25,0.46
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,case_conflict,0.62,0.09,0.29,0.78
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.73,0.25,0.02,0.52
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.82,0.03,0.15,0.7
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.9
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.67,0.12,0.21,0.66
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,word_length_conflict: 300_50,0.71,0.03,0.26,0.72
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,case_conflict,0.91,0.01,0.08,0.79
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.48,0.39,0.13,0.78
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.75,0.04,0.21,0.79
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.86,0.05,0.09,0.88
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.54,0.1,0.36,0.71
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,word_length_conflict: 300_50,0.25,0.54,0.21,0.62
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,case_conflict,0.26,0.25,0.49,0.87
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.17,0.7,0.13,0.2
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.52,0.2,0.28,0.44
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.9,0.0,0.1,0.77
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.66,0.12,0.22,0.48
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.85,0.02,0.13,0.18
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.87,0.0,0.13,0.51
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.4,0.52,0.08,0.54
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.58,0.21,0.21,0.84
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.74,0.19,0.07,0.79
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.13,0.69,0.18,0.51
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.02,0.87,0.11,0.22
Llama-3.1-70B,marked_user_basic,conflicting_instructions,case_conflict,0.71,0.02,0.27,0.27
Llama-3.1-70B,marked_user_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.41,0.48,0.11,0.11
Llama-3.1-70B,marked_user_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.91,0.02,0.07,0.15
Llama-3.1-70B,marked_user_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.55
Llama-3.1-70B,marked_user_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.72,0.15,0.13,0.15
Llama-3.1-70B,marked_user_basic,conflicting_instructions,word_length_conflict: 300_50,0.73,0.02,0.25,0.24
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,case_conflict,0.95,0.0,0.05,0.26
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.85,0.13,0.02,0.18
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.89,0.01,0.1,0.27
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.96,0.02,0.02,0.42
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.78,0.03,0.19,0.04
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.65,0.0,0.35,0.13
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,case_conflict,0.64,0.02,0.34,0.23
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.2,0.68,0.12,0.13
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.68,0.12,0.2,0.14
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0,0.15
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.71,0.11,0.18,0.23
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.67,0.07,0.26,0.28
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.93,0.0,0.07,0.17
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.61,0.37,0.02,0.3
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.87,0.0,0.13,0.57
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.88,0.1,0.02,0.29
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.44,0.11,0.45,0.68
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.33,0.26,0.41,0.55
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,case_conflict,0.62,0.05,0.33,0.66
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.67,0.24,0.09,0.58
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.84,0.01,0.15,0.72
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,language_conflict: en_fr,0.99,0.0,0.01,0.92
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.66,0.14,0.2,0.61
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,word_length_conflict: 300_50,0.73,0.04,0.23,0.73
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,case_conflict,0.95,0.01,0.04,0.72
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.6,0.35,0.05,0.71
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.67,0.04,0.29,0.78
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.89,0.03,0.08,0.77
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.61,0.12,0.27,0.63
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,word_length_conflict: 300_50,0.4,0.34,0.26,0.63
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,case_conflict,0.44,0.14,0.42,0.85
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.23,0.54,0.23,0.28
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.81,0.07,0.12,0.49
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.98,0.0,0.02,0.71
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.73,0.16,0.11,0.48
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.76,0.1,0.14,0.48
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.87,0.0,0.13,0.5
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.4,0.55,0.05,0.57
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.7,0.05,0.25,0.77
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.81,0.1,0.09,0.74
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.28,0.41,0.31,0.7
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.04,0.8,0.16,0.36
Llama-3.1-70B,task_specified_separation,conflicting_instructions,case_conflict,0.0,0.97,0.03,0.01
Llama-3.1-70B,task_specified_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.0,0.92,0.08,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.0,0.86,0.14,0.02
Llama-3.1-70B,task_specified_separation,conflicting_instructions,language_conflict: en_fr,0.31,0.55,0.14,0.64
Llama-3.1-70B,task_specified_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.04,0.77,0.19,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions,word_length_conflict: 300_50,0.0,0.62,0.38,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,case_conflict,0.04,0.67,0.29,0.07
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.07,0.65,0.28,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.02,0.85,0.13,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,language_conflict: en_fr,0.02,0.98,0.0,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.09,0.8,0.11,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.0,0.96,0.04,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,case_conflict,0.0,0.92,0.08,0.02
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.01,0.91,0.08,0.01
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.01,0.79,0.2,0.01
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.22,0.71,0.07,0.57
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.01,0.53,0.46,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.0,0.3,0.7,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.06,0.54,0.4,0.18
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.05,0.86,0.09,0.02
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.03,0.9,0.07,0.05
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.12,0.86,0.02,0.15
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.01,0.94,0.05,0.02
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.0,1.0,0.0,0.02
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,case_conflict,0.01,0.94,0.05,0.1
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.0,0.95,0.05,0.02
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.38,0.4,0.22,0.25
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,language_conflict: en_fr,0.85,0.09,0.06,0.66
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.14,0.5,0.36,0.27
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,word_length_conflict: 300_50,0.03,0.59,0.38,0.07
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,case_conflict,0.87,0.05,0.08,0.86
