model,policy,dataset,conflict_name,primary_constraint_met,secondary_constraint_met,none_constraint_met,conflict_recognized
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.91,0.01,0.08,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.44,0.14,0.42,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.78,0.0,0.22,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,case_conflict,0.44,0.1,0.46,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.24,0.39,0.37,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.43,0.21,0.36,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.0,1.0,0.0,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.53,0.03,0.44,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.13,0.01,0.86,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.87,0.01,0.12,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.84,0.02,0.14,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.82,0.03,0.15,0.01
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.02
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.04,0.42,0.54,0.0
Llama-3.1-8B-conflict,basic_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.03,0.01,0.96,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,case_conflict,0.82,0.0,0.18,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.73,0.0,0.27,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.77,0.07,0.16,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,num_sentence_conflict: 10_5,0.85,0.04,0.11,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions,word_length_conflict: 300_50,0.56,0.0,0.44,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,case_conflict,0.99,0.0,0.01,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.99,0.0,0.01,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.93,0.01,0.06,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,language_conflict: en_fr,0.99,0.0,0.01,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.46,0.12,0.42,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_reversed,word_length_conflict: 300_50,0.84,0.0,0.16,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,case_conflict,0.39,0.0,0.61,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.81,0.0,0.19,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.92,0.03,0.05,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.97,0.0,0.03,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.84,0.0,0.16,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,case_conflict,0.89,0.0,0.11,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.95,0.0,0.05,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.91,0.0,0.09,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.01
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.26,0.15,0.59,0.0
Llama-3.1-8B-conflict,constraint_following_baseline,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.32,0.0,0.68,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,case_conflict,0.81,0.0,0.19,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.8,0.0,0.2,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.67,0.08,0.25,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,language_conflict: en_fr,0.78,0.17,0.05,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.6,0.04,0.36,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions,word_length_conflict: 300_50,0.21,0.0,0.79,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,case_conflict,0.98,0.0,0.02,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.98,0.0,0.02,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.92,0.01,0.07,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.43,0.14,0.43,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.74,0.0,0.26,0.01
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,case_conflict,0.38,0.11,0.51,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.23,0.28,0.49,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.54,0.13,0.33,0.01
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.0,1.0,0.0,0.01
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.59,0.02,0.39,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.1,0.0,0.9,0.01
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.85,0.01,0.14,0.01
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.92,0.01,0.07,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.84,0.01,0.15,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.02
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.06,0.37,0.57,0.0
Llama-3.1-8B-conflict,emphasized_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.06,0.0,0.94,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,case_conflict,0.71,0.0,0.29,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.84,0.0,0.16,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.82,0.03,0.15,0.03
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,language_conflict: en_fr,0.95,0.04,0.01,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.9,0.01,0.09,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions,word_length_conflict: 300_50,0.48,0.0,0.52,0.02
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,case_conflict,0.99,0.0,0.01,0.02
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.98,0.01,0.01,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.91,0.01,0.08,0.05
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.03
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.5,0.1,0.4,0.02
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.8,0.0,0.2,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,case_conflict,0.36,0.01,0.63,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.5,0.13,0.37,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.77,0.07,0.16,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.06,0.93,0.01,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.86,0.0,0.14,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.49,0.0,0.51,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.84,0.0,0.16,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.95,0.0,0.05,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.87,0.0,0.13,0.01
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.0
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.11,0.28,0.61,0.02
Llama-3.1-8B-conflict,marked_system_basic,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.18,0.02,0.8,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,case_conflict,0.63,0.0,0.37,0.06
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.85,0.0,0.15,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.78,0.03,0.19,0.09
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0,0.04
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.8,0.03,0.17,0.06
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions,word_length_conflict: 300_50,0.42,0.0,0.58,0.09
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,case_conflict,0.93,0.0,0.07,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.97,0.0,0.03,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.92,0.02,0.06,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.07
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.32,0.24,0.44,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_reversed,word_length_conflict: 300_50,0.76,0.01,0.23,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,case_conflict,0.32,0.02,0.66,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.59,0.05,0.36,0.0
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.77,0.05,0.18,0.0
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.08,0.92,0.0,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.92,0.0,0.08,0.0
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.66,0.0,0.34,0.03
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.86,0.0,0.14,0.0
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.91,0.0,0.09,0.0
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.8,0.0,0.2,0.01
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.02
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.04,0.36,0.6,0.0
Llama-3.1-8B-conflict,marked_system_detailed,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.14,0.04,0.82,0.01
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,case_conflict,0.7,0.0,0.3,0.12
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.82,0.0,0.18,0.06
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.81,0.03,0.16,0.17
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,language_conflict: en_fr,0.91,0.08,0.01,0.13
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.9,0.0,0.1,0.08
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions,word_length_conflict: 300_50,0.46,0.0,0.54,0.07
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,case_conflict,0.97,0.0,0.03,0.03
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.94,0.02,0.04,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.94,0.0,0.06,0.12
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.19
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.46,0.14,0.4,0.06
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.75,0.01,0.24,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,case_conflict,0.35,0.02,0.63,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.47,0.09,0.44,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.76,0.04,0.2,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,language_conflict: en_fr,0.05,0.95,0.0,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.91,0.0,0.09,0.01
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.39,0.0,0.61,0.03
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.91,0.0,0.09,0.02
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.92,0.01,0.07,0.0
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.84,0.03,0.13,0.01
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.04
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.07,0.36,0.57,0.01
Llama-3.1-8B-conflict,marked_user_basic,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.12,0.04,0.84,0.0
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,case_conflict,0.58,0.0,0.42,0.19
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.88,0.0,0.12,0.13
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.8,0.02,0.18,0.08
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,language_conflict: en_fr,0.94,0.05,0.01,0.1
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.86,0.02,0.12,0.2
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions,word_length_conflict: 300_50,0.45,0.0,0.55,0.17
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,case_conflict,0.9,0.0,0.1,0.08
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.97,0.01,0.02,0.09
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.75,0.06,0.19,0.09
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.23
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.15,0.32,0.53,0.06
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_reversed,word_length_conflict: 300_50,0.55,0.01,0.44,0.06
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,case_conflict,0.37,0.02,0.61,0.05
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.62,0.04,0.34,0.01
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.78,0.07,0.15,0.03
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.07,0.93,0.0,0.03
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.93,0.0,0.07,0.03
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.61,0.0,0.39,0.06
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.91,0.0,0.09,0.0
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.94,0.01,0.05,0.0
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.84,0.03,0.13,0.01
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.01
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.07,0.36,0.57,0.01
Llama-3.1-8B-conflict,marked_user_detailed,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.1,0.12,0.78,0.05
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,case_conflict,0.79,0.0,0.21,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.8,0.0,0.2,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.82,0.03,0.15,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,language_conflict: en_fr,0.92,0.06,0.02,0.01
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.81,0.0,0.19,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions,word_length_conflict: 300_50,0.34,0.0,0.66,0.02
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,case_conflict,0.96,0.0,0.04,0.01
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.98,0.0,0.02,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.92,0.0,0.08,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0,0.02
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.42,0.14,0.44,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.85,0.0,0.15,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,case_conflict,0.37,0.15,0.48,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.39,0.21,0.4,0.01
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.57,0.16,0.27,0.03
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.0,1.0,0.0,0.0
Llama-3.1-8B-conflict,task_specified_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.49,0.03,0.48,0.0
