model,policy,dataset,conflict_name,primary_constraint_met,secondary_constraint_met,none_constraint_met
Llama-3.1-70B,basic_separation,conflicting_instructions,language_conflict: en_fr,0.49,0.46,0.05
Llama-3.1-70B,basic_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.04,0.77,0.19
Llama-3.1-70B,basic_separation,conflicting_instructions,word_length_conflict: 300_50,0.0,0.63,0.37
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,case_conflict,0.29,0.18,0.53
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.46,0.4,0.14
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.04,0.82,0.14
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,language_conflict: en_fr,0.36,0.58,0.06
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.07,0.77,0.16
Llama-3.1-70B,basic_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.01,0.9,0.09
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,case_conflict,0.0,0.93,0.07
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.0,0.94,0.06
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.01,0.83,0.16
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.7,0.26,0.04
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.08,0.49,0.43
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.07,0.32,0.61
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.15,0.29,0.56
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.27,0.55,0.18
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.02,0.82,0.16
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.53,0.43,0.04
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.03,0.96,0.01
Llama-3.1-70B,basic_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.0,1.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,case_conflict,0.7,0.0,0.3
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.91,0.01,0.08
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.97,0.02,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,num_sentence_conflict: 10_5,0.84,0.06,0.1
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions,word_length_conflict: 300_50,0.98,0.0,0.02
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,case_conflict,0.95,0.0,0.05
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,1.0,0.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.96,0.0,0.04
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,language_conflict: en_fr,0.97,0.03,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.78,0.06,0.16
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_reversed,word_length_conflict: 300_50,0.69,0.0,0.31
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,case_conflict,0.5,0.0,0.5
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.92,0.0,0.08
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.98,0.0,0.02
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.94,0.01,0.05
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.99,0.0,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,case_conflict,0.86,0.0,0.14
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.98,0.01,0.01
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.92,0.0,0.08
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.95,0.02,0.03
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.67,0.04,0.29
Llama-3.1-70B,constraint_following_baseline,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.38,0.02,0.6
Llama-3.1-70B,emphasized_separation,conflicting_instructions,case_conflict,0.02,0.68,0.3
Llama-3.1-70B,emphasized_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.01,0.96,0.03
Llama-3.1-70B,emphasized_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.04,0.79,0.17
Llama-3.1-70B,emphasized_separation,conflicting_instructions,language_conflict: en_fr,0.77,0.21,0.02
Llama-3.1-70B,emphasized_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.11,0.65,0.24
Llama-3.1-70B,emphasized_separation,conflicting_instructions,word_length_conflict: 300_50,0.16,0.47,0.37
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,case_conflict,0.88,0.0,0.12
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.61,0.33,0.06
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.15,0.68,0.17
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,language_conflict: en_fr,0.9,0.05,0.05
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.24,0.37,0.39
Llama-3.1-70B,emphasized_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.13,0.31,0.56
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,case_conflict,0.0,0.77,0.23
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.01,0.89,0.1
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.02,0.8,0.18
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.83,0.15,0.02
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.11,0.49,0.4
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.19,0.2,0.61
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.28,0.24,0.48
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.6,0.31,0.09
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.21,0.58,0.21
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.84,0.12,0.04
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.02,0.89,0.09
Llama-3.1-70B,emphasized_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.0,0.93,0.07
Llama-3.1-70B,marked_system_basic,conflicting_instructions,case_conflict,0.25,0.18,0.57
Llama-3.1-70B,marked_system_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.43,0.46,0.11
Llama-3.1-70B,marked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.95,0.0,0.05
Llama-3.1-70B,marked_system_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.73,0.1,0.17
Llama-3.1-70B,marked_system_basic,conflicting_instructions,word_length_conflict: 300_50,0.78,0.0,0.22
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,case_conflict,0.9,0.0,0.1
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.65,0.32,0.03
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.91,0.01,0.08
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.58,0.02,0.4
Llama-3.1-70B,marked_system_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.39,0.02,0.59
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,case_conflict,0.37,0.05,0.58
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.2,0.7,0.1
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.57,0.19,0.24
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.75,0.11,0.14
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.87,0.02,0.11
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.81,0.0,0.19
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.36,0.61,0.03
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.65,0.03,0.32
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.77,0.2,0.03
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.19,0.13,0.68
Llama-3.1-70B,marked_system_basic,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.04,0.56,0.4
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,case_conflict,0.33,0.05,0.62
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.75,0.23,0.02
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.86,0.03,0.11
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.72,0.09,0.19
Llama-3.1-70B,marked_system_detailed,conflicting_instructions,word_length_conflict: 300_50,0.84,0.01,0.15
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,case_conflict,0.91,0.0,0.09
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.24,0.72,0.04
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.43,0.06,0.51
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.78,0.06,0.16
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.33,0.13,0.54
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_reversed,word_length_conflict: 300_50,0.13,0.58,0.29
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,case_conflict,0.11,0.25,0.64
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.23,0.64,0.13
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.57,0.16,0.27
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,0.99,0.0,0.01
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.74,0.09,0.17
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.88,0.02,0.1
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.82,0.0,0.18
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.27,0.68,0.05
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.37,0.23,0.4
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.73,0.15,0.12
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.04,0.71,0.25
Llama-3.1-70B,marked_system_detailed,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.01,0.94,0.05
Llama-3.1-70B,marked_user_basic,conflicting_instructions,case_conflict,0.65,0.02,0.33
Llama-3.1-70B,marked_user_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.42,0.48,0.1
Llama-3.1-70B,marked_user_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.91,0.02,0.07
Llama-3.1-70B,marked_user_basic,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_user_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.73,0.15,0.12
Llama-3.1-70B,marked_user_basic,conflicting_instructions,word_length_conflict: 300_50,0.75,0.01,0.24
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,case_conflict,0.94,0.0,0.06
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.78,0.2,0.02
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.84,0.01,0.15
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.94,0.03,0.03
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.76,0.03,0.21
Llama-3.1-70B,marked_user_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.51,0.0,0.49
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,case_conflict,0.58,0.02,0.4
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.2,0.69,0.11
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.68,0.13,0.19
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.72,0.11,0.17
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.78,0.03,0.19
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.85,0.0,0.15
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.4,0.59,0.01
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.73,0.01,0.26
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.87,0.1,0.03
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.27,0.12,0.61
Llama-3.1-70B,marked_user_basic,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.05,0.28,0.67
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,case_conflict,0.51,0.03,0.46
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.73,0.2,0.07
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.88,0.01,0.11
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,num_sentence_conflict: 10_5,0.69,0.09,0.22
Llama-3.1-70B,marked_user_detailed,conflicting_instructions,word_length_conflict: 300_50,0.84,0.01,0.15
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,case_conflict,0.94,0.0,0.06
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.28,0.68,0.04
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.48,0.05,0.47
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,language_conflict: en_fr,0.79,0.07,0.14
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.38,0.12,0.5
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_reversed,word_length_conflict: 300_50,0.15,0.36,0.49
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,case_conflict,0.13,0.14,0.73
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.29,0.53,0.18
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.84,0.06,0.1
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.8,0.12,0.08
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.91,0.01,0.08
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,case_conflict,0.83,0.0,0.17
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.21,0.76,0.03
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.38,0.11,0.51
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.81,0.14,0.05
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.12,0.45,0.43
Llama-3.1-70B,marked_user_detailed,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.01,0.9,0.09
Llama-3.1-70B,task_specified_separation,conflicting_instructions,case_conflict,0.0,0.97,0.03
Llama-3.1-70B,task_specified_separation,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.0,0.92,0.08
Llama-3.1-70B,task_specified_separation,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.0,0.86,0.14
Llama-3.1-70B,task_specified_separation,conflicting_instructions,language_conflict: en_fr,0.36,0.56,0.08
Llama-3.1-70B,task_specified_separation,conflicting_instructions,num_sentence_conflict: 10_5,0.04,0.77,0.19
Llama-3.1-70B,task_specified_separation,conflicting_instructions,word_length_conflict: 300_50,0.0,0.62,0.38
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,case_conflict,0.03,0.64,0.33
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.07,0.65,0.28
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.02,0.86,0.12
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,language_conflict: en_fr,0.02,0.98,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.09,0.8,0.11
Llama-3.1-70B,task_specified_separation,conflicting_instructions_reversed,word_length_conflict: 300_50,0.0,0.96,0.04
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,case_conflict,0.0,0.91,0.09
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.01,0.91,0.08
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.01,0.79,0.2
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,language_conflict: en_fr,0.21,0.71,0.08
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.01,0.53,0.46
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.0,0.29,0.71
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,case_conflict,0.04,0.52,0.44
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.05,0.86,0.09
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.02,0.93,0.05
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,language_conflict: en_fr,0.14,0.86,0.0
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,num_sentence_conflict: 10_5,0.01,0.94,0.05
Llama-3.1-70B,task_specified_separation,conflicting_instructions_rich_context_reversed,word_length_conflict: 300_50,0.0,1.0,0.0
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,case_conflict,0.0,0.94,0.06
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,keyword_forbidden_conflict: awesome_need,0.01,0.95,0.04
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,keyword_frequency_conflict: like_5_2,0.4,0.38,0.22
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,language_conflict: en_fr,0.87,0.09,0.04
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,num_sentence_conflict: 10_5,0.16,0.42,0.42
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions,word_length_conflict: 300_50,0.04,0.54,0.42
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,case_conflict,0.83,0.01,0.16
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,keyword_forbidden_conflict: awesome_need,0.38,0.46,0.16
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,keyword_frequency_conflict: like_5_2,0.47,0.32,0.21
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,language_conflict: en_fr,0.41,0.53,0.06
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,num_sentence_conflict: 10_5,0.15,0.62,0.23
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_reversed,word_length_conflict: 300_50,0.01,0.74,0.25
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,case_conflict,0.01,0.6,0.39
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,keyword_forbidden_conflict: awesome_need,0.0,0.78,0.22
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,keyword_frequency_conflict: like_5_2,0.21,0.42,0.37
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,language_conflict: en_fr,1.0,0.0,0.0
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,num_sentence_conflict: 10_5,0.32,0.24,0.44
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context,word_length_conflict: 300_50,0.69,0.13,0.18
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,case_conflict,0.69,0.02,0.29
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,keyword_forbidden_conflict: awesome_need,0.61,0.27,0.12
Llama-3.1-70B,unmarked_system_basic,conflicting_instructions_rich_context_reversed,keyword_frequency_conflict: like_5_2,0.29,0.38,0.33
