model,policy,dataset,primary_constraint_met,secondary_constraint_met,none_constraint_met
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions_reversed,0.142,0.572,0.287
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions_rich_context,0.423,0.268,0.308
Llama-3.1-8B,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.178,0.552,0.27
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions,0.233,0.422,0.345
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions_reversed,0.18,0.513,0.307
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions_rich_context,0.347,0.278,0.375
Llama-3.1-8B,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.153,0.565,0.282
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions,0.252,0.377,0.372
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions_reversed,0.157,0.532,0.312
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions_rich_context,0.395,0.278,0.327
Llama-3.1-8B,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.158,0.57,0.272
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions,0.275,0.423,0.302
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions_reversed,0.547,0.26,0.193
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions_rich_context,0.417,0.267,0.317
claude-3-5-sonnet-20241022,baseline_all_user,conflicting_instructions_rich_context_reversed,0.398,0.305,0.297
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions,0.095,0.7,0.205
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions_reversed,0.313,0.558,0.128
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions_rich_context,0.318,0.417,0.265
claude-3-5-sonnet-20241022,basic_separation,conflicting_instructions_rich_context_reversed,0.505,0.277,0.218
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions,0.872,0.042,0.087
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions_reversed,0.815,0.017,0.168
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions_rich_context,0.902,0.022,0.077
claude-3-5-sonnet-20241022,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.665,0.028,0.307
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions,0.15,0.635,0.215
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions_reversed,0.53,0.322,0.148
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions_rich_context,0.375,0.368,0.257
claude-3-5-sonnet-20241022,emphasized_separation,conflicting_instructions_rich_context_reversed,0.578,0.207,0.215
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions,0.827,0.028,0.145
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions_reversed,0.703,0.065,0.232
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions_rich_context,0.638,0.105,0.257
claude-3-5-sonnet-20241022,marked_system_basic,conflicting_instructions_rich_context_reversed,0.658,0.033,0.308
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions,0.638,0.1,0.262
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions_reversed,0.493,0.163,0.343
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions_rich_context,0.555,0.155,0.29
claude-3-5-sonnet-20241022,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.537,0.215,0.248
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions,0.792,0.03,0.178
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions_reversed,0.742,0.042,0.217
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions_rich_context,0.717,0.108,0.175
claude-3-5-sonnet-20241022,marked_user_basic,conflicting_instructions_rich_context_reversed,0.675,0.023,0.302
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions,0.73,0.055,0.215
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions_reversed,0.53,0.192,0.278
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions_rich_context,0.595,0.143,0.262
claude-3-5-sonnet-20241022,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.553,0.215,0.232
claude-3-5-sonnet-20241022,task_specified_separation,conflicting_instructions,0.083,0.688,0.228
claude-3-5-sonnet-20241022,task_specified_separation,conflicting_instructions_reversed,0.208,0.577,0.215
claude-3-5-sonnet-20241022,task_specified_separation,conflicting_instructions_rich_context,0.208,0.497,0.295
claude-3-5-sonnet-20241022,task_specified_separation,conflicting_instructions_rich_context_reversed,0.263,0.533,0.203
claude-3-5-sonnet-20241022,unmarked_system_basic,conflicting_instructions,0.41,0.275,0.315
claude-3-5-sonnet-20241022,unmarked_system_basic,conflicting_instructions_reversed,0.543,0.245,0.212
claude-3-5-sonnet-20241022,unmarked_system_basic,conflicting_instructions_rich_context,0.382,0.267,0.352
claude-3-5-sonnet-20241022,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.483,0.255,0.262
claude-3-5-sonnet-20241022,unmarked_system_detailed,conflicting_instructions,0.297,0.3,0.403
claude-3-5-sonnet-20241022,unmarked_system_detailed,conflicting_instructions_reversed,0.515,0.252,0.233
claude-3-5-sonnet-20241022,unmarked_system_detailed,conflicting_instructions_rich_context,0.452,0.212,0.337
claude-3-5-sonnet-20241022,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.48,0.295,0.225
claude-3-5-sonnet-20241022,unmarked_user_basic,conflicting_instructions,0.368,0.325,0.307
claude-3-5-sonnet-20241022,unmarked_user_basic,conflicting_instructions_reversed,0.578,0.208,0.213
claude-3-5-sonnet-20241022,unmarked_user_basic,conflicting_instructions_rich_context,0.425,0.257,0.318
claude-3-5-sonnet-20241022,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.512,0.227,0.262
claude-3-5-sonnet-20241022,unmarked_user_detailed,conflicting_instructions,0.302,0.248,0.45
claude-3-5-sonnet-20241022,unmarked_user_detailed,conflicting_instructions_reversed,0.505,0.27,0.225
claude-3-5-sonnet-20241022,unmarked_user_detailed,conflicting_instructions_rich_context,0.465,0.205,0.33
claude-3-5-sonnet-20241022,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.477,0.285,0.238
gpt-4o-2024-11-20,baseline_all_user,conflicting_instructions,0.118,0.637,0.245
gpt-4o-2024-11-20,baseline_all_user,conflicting_instructions_reversed,0.19,0.615,0.195
gpt-4o-2024-11-20,baseline_all_user,conflicting_instructions_rich_context,0.398,0.315,0.287
gpt-4o-2024-11-20,baseline_all_user,conflicting_instructions_rich_context_reversed,0.202,0.698,0.1
gpt-4o-2024-11-20,basic_separation,conflicting_instructions,0.343,0.482,0.175
gpt-4o-2024-11-20,basic_separation,conflicting_instructions_reversed,0.673,0.128,0.198
gpt-4o-2024-11-20,basic_separation,conflicting_instructions_rich_context,0.363,0.378,0.258
gpt-4o-2024-11-20,basic_separation,conflicting_instructions_rich_context_reversed,0.467,0.347,0.187
gpt-4o-2024-11-20,constraint_following_baseline,conflicting_instructions,0.972,0.0,0.028
gpt-4o-2024-11-20,constraint_following_baseline,conflicting_instructions_reversed,0.85,0.012,0.138
gpt-4o-2024-11-20,constraint_following_baseline,conflicting_instructions_rich_context,0.975,0.002,0.023
gpt-4o-2024-11-20,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.738,0.03,0.232
gpt-4o-2024-11-20,emphasized_separation,conflicting_instructions,0.598,0.198,0.203
gpt-4o-2024-11-20,emphasized_separation,conflicting_instructions_reversed,0.735,0.087,0.178
gpt-4o-2024-11-20,emphasized_separation,conflicting_instructions_rich_context,0.385,0.348,0.267
gpt-4o-2024-11-20,emphasized_separation,conflicting_instructions_rich_context_reversed,0.543,0.252,0.205
gpt-4o-2024-11-20,marked_system_basic,conflicting_instructions,0.698,0.045,0.257
gpt-4o-2024-11-20,marked_system_basic,conflicting_instructions_reversed,0.72,0.09,0.19
gpt-4o-2024-11-20,marked_system_basic,conflicting_instructions_rich_context,0.59,0.193,0.217
gpt-4o-2024-11-20,marked_system_basic,conflicting_instructions_rich_context_reversed,0.547,0.177,0.277
gpt-4o-2024-11-20,marked_system_detailed,conflicting_instructions,0.803,0.013,0.183
gpt-4o-2024-11-20,marked_system_detailed,conflicting_instructions_reversed,0.643,0.082,0.275
gpt-4o-2024-11-20,marked_system_detailed,conflicting_instructions_rich_context,0.707,0.168,0.125
gpt-4o-2024-11-20,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.373,0.405,0.222
gpt-4o-2024-11-20,marked_user_basic,conflicting_instructions,0.795,0.012,0.193
gpt-4o-2024-11-20,marked_user_basic,conflicting_instructions_reversed,0.682,0.092,0.227
gpt-4o-2024-11-20,marked_user_basic,conflicting_instructions_rich_context,0.725,0.128,0.147
gpt-4o-2024-11-20,marked_user_basic,conflicting_instructions_rich_context_reversed,0.52,0.22,0.26
gpt-4o-2024-11-20,marked_user_detailed,conflicting_instructions,0.848,0.005,0.147
gpt-4o-2024-11-20,marked_user_detailed,conflicting_instructions_reversed,0.548,0.155,0.297
gpt-4o-2024-11-20,marked_user_detailed,conflicting_instructions_rich_context,0.72,0.13,0.15
gpt-4o-2024-11-20,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.392,0.413,0.195
gpt-4o-2024-11-20,task_specified_separation,conflicting_instructions,0.23,0.59,0.18
gpt-4o-2024-11-20,task_specified_separation,conflicting_instructions_reversed,0.423,0.387,0.19
gpt-4o-2024-11-20,task_specified_separation,conflicting_instructions_rich_context,0.32,0.387,0.293
gpt-4o-2024-11-20,task_specified_separation,conflicting_instructions_rich_context_reversed,0.285,0.62,0.095
gpt-4o-2024-11-20,unmarked_system_basic,conflicting_instructions,0.262,0.437,0.302
gpt-4o-2024-11-20,unmarked_system_basic,conflicting_instructions_reversed,0.412,0.313,0.275
gpt-4o-2024-11-20,unmarked_system_basic,conflicting_instructions_rich_context,0.343,0.335,0.322
gpt-4o-2024-11-20,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.233,0.535,0.232
gpt-4o-2024-11-20,unmarked_system_detailed,conflicting_instructions,0.287,0.43,0.283
gpt-4o-2024-11-20,unmarked_system_detailed,conflicting_instructions_reversed,0.303,0.313,0.383
gpt-4o-2024-11-20,unmarked_system_detailed,conflicting_instructions_rich_context,0.355,0.307,0.338
gpt-4o-2024-11-20,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.215,0.603,0.182
gpt-4o-2024-11-20,unmarked_user_basic,conflicting_instructions,0.385,0.34,0.275
gpt-4o-2024-11-20,unmarked_user_basic,conflicting_instructions_reversed,0.435,0.258,0.307
gpt-4o-2024-11-20,unmarked_user_basic,conflicting_instructions_rich_context,0.377,0.297,0.327
gpt-4o-2024-11-20,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.19,0.57,0.24
gpt-4o-2024-11-20,unmarked_user_detailed,conflicting_instructions,0.28,0.433,0.287
gpt-4o-2024-11-20,unmarked_user_detailed,conflicting_instructions_reversed,0.205,0.418,0.377
gpt-4o-2024-11-20,unmarked_user_detailed,conflicting_instructions_rich_context,0.363,0.315,0.322
gpt-4o-2024-11-20,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.162,0.67,0.168
gpt-4o-mini-2024-07-18,baseline_all_user,conflicting_instructions,0.285,0.313,0.402
gpt-4o-mini-2024-07-18,baseline_all_user,conflicting_instructions_reversed,0.515,0.302,0.183
gpt-4o-mini-2024-07-18,baseline_all_user,conflicting_instructions_rich_context,0.527,0.182,0.292
gpt-4o-mini-2024-07-18,baseline_all_user,conflicting_instructions_rich_context_reversed,0.54,0.273,0.187
gpt-4o-mini-2024-07-18,basic_separation,conflicting_instructions,0.235,0.517,0.248
gpt-4o-mini-2024-07-18,basic_separation,conflicting_instructions_reversed,0.64,0.235,0.125
gpt-4o-mini-2024-07-18,basic_separation,conflicting_instructions_rich_context,0.307,0.417,0.277
gpt-4o-mini-2024-07-18,basic_separation,conflicting_instructions_rich_context_reversed,0.547,0.26,0.193
gpt-4o-mini-2024-07-18,constraint_following_baseline,conflicting_instructions,0.903,0.003,0.093
gpt-4o-mini-2024-07-18,constraint_following_baseline,conflicting_instructions_reversed,0.808,0.008,0.183
gpt-4o-mini-2024-07-18,constraint_following_baseline,conflicting_instructions_rich_context,0.937,0.002,0.062
gpt-4o-mini-2024-07-18,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.763,0.018,0.218
gpt-4o-mini-2024-07-18,emphasized_separation,conflicting_instructions,0.337,0.388,0.275
gpt-4o-mini-2024-07-18,emphasized_separation,conflicting_instructions_reversed,0.653,0.162,0.185
gpt-4o-mini-2024-07-18,emphasized_separation,conflicting_instructions_rich_context,0.357,0.345,0.298
gpt-4o-mini-2024-07-18,emphasized_separation,conflicting_instructions_rich_context_reversed,0.59,0.198,0.212
gpt-4o-mini-2024-07-18,marked_system_basic,conflicting_instructions,0.687,0.115,0.198
gpt-4o-mini-2024-07-18,marked_system_basic,conflicting_instructions_reversed,0.725,0.052,0.223
gpt-4o-mini-2024-07-18,marked_system_basic,conflicting_instructions_rich_context,0.653,0.115,0.232
gpt-4o-mini-2024-07-18,marked_system_basic,conflicting_instructions_rich_context_reversed,0.728,0.062,0.21
gpt-4o-mini-2024-07-18,marked_system_detailed,conflicting_instructions,0.662,0.127,0.212
gpt-4o-mini-2024-07-18,marked_system_detailed,conflicting_instructions_reversed,0.687,0.115,0.198
gpt-4o-mini-2024-07-18,marked_system_detailed,conflicting_instructions_rich_context,0.538,0.18,0.282
gpt-4o-mini-2024-07-18,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.588,0.218,0.193
gpt-4o-mini-2024-07-18,marked_user_basic,conflicting_instructions,0.832,0.032,0.137
gpt-4o-mini-2024-07-18,marked_user_basic,conflicting_instructions_reversed,0.785,0.033,0.182
gpt-4o-mini-2024-07-18,marked_user_basic,conflicting_instructions_rich_context,0.722,0.083,0.195
gpt-4o-mini-2024-07-18,marked_user_basic,conflicting_instructions_rich_context_reversed,0.72,0.055,0.225
gpt-4o-mini-2024-07-18,marked_user_detailed,conflicting_instructions,0.705,0.102,0.193
gpt-4o-mini-2024-07-18,marked_user_detailed,conflicting_instructions_reversed,0.49,0.35,0.16
gpt-4o-mini-2024-07-18,marked_user_detailed,conflicting_instructions_rich_context,0.593,0.175,0.232
gpt-4o-mini-2024-07-18,marked_user_detailed,conflicting_instructions_rich_context_reversed,0.558,0.28,0.162
gpt-4o-mini-2024-07-18,task_specified_separation,conflicting_instructions,0.423,0.243,0.333
gpt-4o-mini-2024-07-18,task_specified_separation,conflicting_instructions_reversed,0.662,0.215,0.123
gpt-4o-mini-2024-07-18,task_specified_separation,conflicting_instructions_rich_context,0.34,0.373,0.287
gpt-4o-mini-2024-07-18,task_specified_separation,conflicting_instructions_rich_context_reversed,0.528,0.302,0.17
gpt-4o-mini-2024-07-18,unmarked_system_basic,conflicting_instructions,0.295,0.3,0.405
gpt-4o-mini-2024-07-18,unmarked_system_basic,conflicting_instructions_reversed,0.558,0.275,0.167
gpt-4o-mini-2024-07-18,unmarked_system_basic,conflicting_instructions_rich_context,0.492,0.2,0.308
gpt-4o-mini-2024-07-18,unmarked_system_basic,conflicting_instructions_rich_context_reversed,0.567,0.25,0.183
gpt-4o-mini-2024-07-18,unmarked_system_detailed,conflicting_instructions,0.303,0.263,0.433
gpt-4o-mini-2024-07-18,unmarked_system_detailed,conflicting_instructions_reversed,0.567,0.277,0.157
gpt-4o-mini-2024-07-18,unmarked_system_detailed,conflicting_instructions_rich_context,0.487,0.195,0.318
gpt-4o-mini-2024-07-18,unmarked_system_detailed,conflicting_instructions_rich_context_reversed,0.562,0.253,0.185
gpt-4o-mini-2024-07-18,unmarked_user_basic,conflicting_instructions,0.303,0.283,0.413
gpt-4o-mini-2024-07-18,unmarked_user_basic,conflicting_instructions_reversed,0.53,0.317,0.153
gpt-4o-mini-2024-07-18,unmarked_user_basic,conflicting_instructions_rich_context,0.493,0.205,0.302
gpt-4o-mini-2024-07-18,unmarked_user_basic,conflicting_instructions_rich_context_reversed,0.578,0.258,0.163
gpt-4o-mini-2024-07-18,unmarked_user_detailed,conflicting_instructions,0.262,0.268,0.47
gpt-4o-mini-2024-07-18,unmarked_user_detailed,conflicting_instructions_reversed,0.51,0.34,0.15
gpt-4o-mini-2024-07-18,unmarked_user_detailed,conflicting_instructions_rich_context,0.487,0.202,0.312
gpt-4o-mini-2024-07-18,unmarked_user_detailed,conflicting_instructions_rich_context_reversed,0.548,0.288,0.163
qwen2.5-7b-instruct,baseline_all_user,conflicting_instructions,0.11,0.62,0.27
qwen2.5-7b-instruct,baseline_all_user,conflicting_instructions_reversed,0.217,0.345,0.438
qwen2.5-7b-instruct,baseline_all_user,conflicting_instructions_rich_context,0.343,0.297,0.36
qwen2.5-7b-instruct,baseline_all_user,conflicting_instructions_rich_context_reversed,0.217,0.392,0.392
qwen2.5-7b-instruct,basic_separation,conflicting_instructions,0.025,0.82,0.155
qwen2.5-7b-instruct,basic_separation,conflicting_instructions_reversed,0.177,0.398,0.425
qwen2.5-7b-instruct,basic_separation,conflicting_instructions_rich_context,0.093,0.608,0.298
qwen2.5-7b-instruct,basic_separation,conflicting_instructions_rich_context_reversed,0.087,0.59,0.323
qwen2.5-7b-instruct,constraint_following_baseline,conflicting_instructions,0.902,0.002,0.097
qwen2.5-7b-instruct,constraint_following_baseline,conflicting_instructions_reversed,0.827,0.003,0.17
qwen2.5-7b-instruct,constraint_following_baseline,conflicting_instructions_rich_context,0.905,0.003,0.092
qwen2.5-7b-instruct,constraint_following_baseline,conflicting_instructions_rich_context_reversed,0.745,0.02,0.235
qwen2.5-7b-instruct,emphasized_separation,conflicting_instructions,0.03,0.793,0.177
qwen2.5-7b-instruct,emphasized_separation,conflicting_instructions_reversed,0.203,0.417,0.38
qwen2.5-7b-instruct,emphasized_separation,conflicting_instructions_rich_context,0.112,0.605,0.283
qwen2.5-7b-instruct,emphasized_separation,conflicting_instructions_rich_context_reversed,0.06,0.6,0.34
qwen2.5-7b-instruct,marked_system_basic,conflicting_instructions,0.33,0.328,0.342
qwen2.5-7b-instruct,marked_system_basic,conflicting_instructions_reversed,0.46,0.178,0.362
qwen2.5-7b-instruct,marked_system_basic,conflicting_instructions_rich_context,0.507,0.217,0.277
qwen2.5-7b-instruct,marked_system_basic,conflicting_instructions_rich_context_reversed,0.297,0.347,0.357
qwen2.5-7b-instruct,marked_system_detailed,conflicting_instructions,0.293,0.33,0.377
qwen2.5-7b-instruct,marked_system_detailed,conflicting_instructions_reversed,0.153,0.295,0.552
qwen2.5-7b-instruct,marked_system_detailed,conflicting_instructions_rich_context,0.645,0.217,0.138
qwen2.5-7b-instruct,marked_system_detailed,conflicting_instructions_rich_context_reversed,0.178,0.563,0.258
qwen2.5-7b-instruct,marked_user_basic,conflicting_instructions,0.487,0.148,0.365
qwen2.5-7b-instruct,marked_user_basic,conflicting_instructions_reversed,0.565,0.152,0.283
qwen2.5-7b-instruct,marked_user_basic,conflicting_instructions_rich_context,0.512,0.193,0.295
qwen2.5-7b-instruct,marked_user_basic,conflicting_instructions_rich_context_reversed,0.303,0.335,0.362
qwen2.5-7b-instruct,marked_user_detailed,conflicting_instructions,0.498,0.122,0.38
